filename	caption	second positive	negative_caption
000000222455.jpg	a close up of an oven with food cooking on top	A close up of an oven with food cooking at the top.	A close up of an oven with food cooking inside.
000000421455.jpg	Person takes a picture  of dog in the backseat through side mirror.	A person captures a photo of their dog in the backseat using side mirror.	Person takes a picture of dog outside the car through side mirror.
000000446522.jpg	A black and brown dog sits curled in a flowered wing chair.	The flowered wing chair accommodates the curled black and brown dog.	A black and brown dog lies curled in a flowered wing chair.
000000397133.jpg	A person is in a kitchen making pizzas.	An individual is making pizzas in a kitchen.	A person is in a kitchen cleaning up after making pizzas.
000000201646.jpg	A person with glasses sitting on a chair with a wiimote	An individual wearing glasses is seated on a chair with a wii remote controller.	A person with glasses standing beside a chair with a wiimote.
000000334719.jpg	A family are playing frisbee on the beach.	The frisbee is being played on the beach by a family.	A family are relaxing on the beach.
000000565778.jpg	A train with people inside is about to go into a tunnel.	The train with passengers onboard is approaching a tunnel.	A train with people inside has just emerged from a tunnel.
000000492362.jpg	A young person riding a skateboard with red wheels.	A youth is skateboarding with red skateboard wheels.	A young person pushing a skateboard with red wheels.
000000439854.jpg	A person does a trick on a skateboard by a beach.	A person performs a skateboard trick near the beach.	A person does a trick near a skate board by a beach.
000000041888.jpg	Three birds walking around a dry grass field.	Three birds are strolling through a field of dry grass.	Three birds flying over a dry grass field.
000000240754.jpg	A small cow in a enclosure with straw on the floor.	A petite cow is in an enclosure with straw covering the floor.	A small cow is running around outside with straw on the floor of its enclosure.
000000189310.jpg	A lime green room with older style furnishings and curtains.	A room with lime green walls adorned with older-style furnishings and curtains.	A lime green room without older style furnishings and curtains.
000000140640.jpg	People in fancy hats serving cakes at a candle lit table	Individuals adorned in elegant hats are serving cakes at a table illuminated by candles.	People in fancy hats conversing at a candle lit table.
000000066038.jpg	The father and daughter are under an umbrella on the beach.	The father and daughter are positioned under an umbrella at the beach.	The father and daughter are beside an umbrella on the beach.
000000525155.jpg	The person with the black sweatshirt carries a wooly sheep.	The person carrying the wooly sheep is wearing a black sweatshirt.	The person without the black sweatshirt carries a wooly sheep.
000000284445.jpg	A group of people crossing a street next to a bend traffic light.	A cluster of individuals crossing a street adjacent to a bend traffic light.	A group of people crossing a street far from a bend traffic light.
000000162035.jpg	A person walking down a street past a teddy bear sign.	An individual walking down the street past a sign with a teddy bear.	A person walking down a street approaching a teddy bear sign.
000000067310.jpg	A skater jumps in the air at a skate park.	A skateboarder leaps into the air at a skate park.	A skater spins in the air at a skate park.
000000380913.jpg	A group of friends riding a subway while using cell phones.	A gathering of friends are utilizing their cell phones while riding the subway.	A group of friends standing on a subway while using cell phones.
000000420916.jpg	Three people sitting on a bench in front of a lake.	Three individuals sit on a bench positioned in front of a lake.	Three people standing in front of a lake.
000000381639.jpg	A little child is standing between several orange cones.	Several orange cones surround the little child.	A little child is standing beside several orange cones.
000000214224.jpg	A sign with the word "Pub" hangs above several liquor bottles.	A sign reading "Pub" is suspended above multiple liquor bottles.	A sign with the word "Pub" hangs behind several liquor bottles.
000000327601.jpg	A person in a blue dress with no shoes, seated with their legs crossed on a chair in the middle of a room.	A lady wearing a blue dress, barefoot, is seated with crossed legs on a chair positioned in the center of a room.	A person out of a blue dress with no shoes, seated with their legs crossed on a chair in the middle of a room.
000000017627.jpg	Cars are parked on the street near an old building.	An old building is positioned near where the cars are parked on the street.	Cars are driving on the street near an old building.
000000186980.jpg	A wooden table with two chairs next to a sink.	A wooden table is positioned near a sink with two chairs placed beside it.	A wooden table with two chairs far from a sink.
000000173044.jpg	A clock tower stands in front of a large mirrored sky scraper.	In front of a massive mirrored skyscraper, there is a clock tower standing tall.	A clock tower stands behind a large mirrored sky scraper.
000000361238.jpg	The person with glasses is eating a slice of pizza.	An individual is eating a slice of pizza while wearing glasses.	The person without glasses is eating a slice of pizza.
000000481390.jpg	The basketball game is played by teams in white or blue uniforms.	Teams participate in the basketball game wearing either white or blue uniforms.	The basketball game is played by teams out of white or blue uniforms.
000000409475.jpg	Two people standing next to each other on a ski slope.	Two individuals stand adjacent to each other on a ski slope.	Two people standing far from each other on a ski slope.
000000537153.jpg	A couple of people sitting on top of a wooden bench.	Two individuals are seated atop a wooden bench.	A couple of people sitting next to a wooden bench.
000000284623.jpg	A black cat sits in a bathroom sink.	The bathroom sink contains a black cat.	A black cat is lying in a bathroom sink.
000000368940.jpg	A white sink with a black cabinet underneath it.	A black cabinet is situated beneath a white sink.	A white sink with a black cabinet next to it.
000000358525.jpg	A small child operating a laptop on a bed	A young child is using a laptop while being on a bed.	A small child is next to a laptop on a bed.
000000506656.jpg	A guy standing in front of a few horses.	A few horses are behind a standing guy.	A guy standing behind a few horses.
000000039956.jpg	View of a very messy bedroom with boxes and bags covering the floor.	A cluttered bedroom is depicted with boxes and bags strewn across the floor.	View of a very messy bedroom with boxes and bags being rearranged on the floor.
000000551215.jpg	The person is playing a game of tennis on the court.	The person on the court is playing a game of tennis.	The person is next to the court, watching a game of tennis.
000000048153.jpg	A photo of a bright pink shoe on a blue and green background.	A photograph showing a bright pink shoe with a green and blue background.	A photo of a bright pink shoe next to a blue and green background.
000000459153.jpg	A person uses their computer on a park bench.	The person sits on the park bench and uses their computer.	A person uses their computer beside a park bench.
000000261982.jpg	A person on a skateboard does a flip in a parking lot.	An individual performs a flip on a skateboard in a parking lot.	A person above a skateboard does a flip in a parking lot.
000000376442.jpg	This is a stuffed animal on a toilet seat.	The stuffed animal is situated on the toilet seat.	This is a stuffed animal beside a toilet seat.
000000534827.jpg	Motorcyclists are riding down the street with each other.	Motorcyclists are riding together down the street.	Motorcyclists are parked on the street with each other.
000000100624.jpg	A person standing on a sidewalk while using a cell phone	An individual is utilizing a cell phone while standing on a sidewalk.	A person walking along a sidewalk while using a cell phone.
000000117645.jpg	A person on skis is going down a slope.	An individual on skis is descending a slope.	A person off skis is standing at the bottom of a slope.
000000446522.jpg	A dog is sitting on an armchair next to a fridge.	An armchair is placed next to a fridge, and a dog is sitting on it.	A dog is sleeping on an armchair next to a fridge.
000000064462.jpg	A skier smiling while standing in the snow.	A skier stands in the snow wearing a grin.	A skier frowning while standing in the snow.
000000370999.jpg	A dime sits in the middle of a group of stones.	The group of stones surrounds the dime.	A dime sits next to a group of stones.
000000570471.jpg	A person hugging another while cutting a cake.	Two people embraces each other while cutting a cake.	A person hugging another while smiling at a cake.
000000383386.jpg	Three teddy bears that are sitting next to each other.	Three teddy bears that sit alongside each other.	Three teddy bears that are lying down next to each other.
000000164602.jpg	Two people standing in front of a mirror.	A couple of individuals are standing before a mirror.	Two people sitting in front of a mirror.
000000229858.jpg	A baby deer and a large deer are standing in the woods.	The large deer and the baby deer are positioned within the woods.	A baby deer and a large deer are running around in the woods.
000000475678.jpg	Several suit cases lined in rows with luggage tags on them.	Several suitcases with luggage tags on them aligned in a row.	Several suit cases stacked on top of each other with luggage tags on them.
000000320664.jpg	A hot dog is on a plate with macaroni and cheese.	A plate with macaroni and cheese has a hot dog.	A hot dog is next to a plate with macaroni and cheese.
000000349184.jpg	A person sitting on a wooden bench viewing some beautiful trees.	A person sits on a wooden bench admiring the view of beautiful trees.	A person standing beside a wooden bench viewing some beautiful trees.
000000183716.jpg	A couple of little children sitting next to each other.	Two little child sit next to each other.	A couple of little child playing next to each other.
000000066038.jpg	A group of people sit underneath umbrellas on the beach.	A cluster of individuals are positioned on the beach beneath the umbrellas.	A group of people sit beside umbrellas on the beach.
000000535306.jpg	A child stands at the top of a jump with a skateboard.	The child is positioned at the top of the jump, holding a skateboard.	A child is sitting at the top of a jump with a skateboard.
000000010977.jpg	A bathroom with blue walls and pink tile.	The blue-walled bathroom features pink tile.	A bathroom without blue walls and pink tile.
000000459467.jpg	A grey and black plane on a runway with trees in the background.	On the runway, a grey and black plane is placed near the background of trees.	A grey and black plane on a runway without trees in the background.
000000002261.jpg	A person in a black shirt plays on an ocean wave.	A person wearing a black shirt rides on an ocean wave.	A person in a black shirt stands beside an ocean wave.
000000181303.jpg	A little child standing on a field with a kite over their head.	A young child stands in a field with a kite flying overhead.	A little child running on a field with a kite over their head.
000000525322.jpg	Two jets are flying against a bright blue sky.	A couple of jets soar through a vivid blue sky.	Two jets are swooping past each other in a bright blue sky.
000000301061.jpg	An elephant is being fed while in a truck.	An elephant is being given food while inside a truck	An elephant is being fed next to a truck.
000000414034.jpg	A child wearing a baseball cap with a remote control and a sippy cup.	A child donning a baseball cap holds a remote control and a sippy cup.	A child hiding under a baseball cap with a remote control and a sippy cup.
000000490125.jpg	White birds are gathered around a water puddle.	A group of white birds has congregated around a puddle of water.	White birds are flying over a water puddle.
000000183648.jpg	A person pats an elephant as a couple of other persons watch.	Couple of persons observe the elephant as the other person pats it.	A person feeds an elephant as a couple of other persons watch.
000000552371.jpg	Two horses stand outside in their corral, with mountains in the background.	Two horses are standing outdoors in their corral, with mountains visible in the background.	Two horses lay down outside in their corral, with mountains in the background.
000000448076.jpg	A small group of people standing in a red and white room	A few individuals are standing in a room decorated with red and white colors.	A small group of people standing outside of a red and white room.
000000341719.jpg	Several people can be seen at the crest of the mountain.	many individuals are visible at the summit of the mountain.	Several people can be seen at the base of the mountain.
000000281447.jpg	A horse standing in the dirt near a fence.	A horse is standing in the dirt close to a fence.	A horse lying down in the dirt near a fence.
000000163562.jpg	A person standing on a hillside next to a lake holding frisbee.	A person holding frisbee is standing on a hillside next to a lake.	A person sitting on a hillside next to a lake holding a frisbee.
000000329219.jpg	A person in the kitchen standing with their dog.	The dog stands near the person in the kitchen.	A person out of the kitchen standing with their dog.
000000361103.jpg	A couple of traffic lights sitting on the side of a road.	A couple of traffic lights are situated alongside the road.	A couple of traffic lights hanging above a road.
000000319721.jpg	A person stands beside a large brown horse.	A large brown horse is positioned beside a person.	A person is riding a large brown horse.
000000509131.jpg	A bunch of mini bananas are hanging above a bowl of apples and oranges.	A cluster of mini bananas is suspended above a bowl containing apples and oranges.	A bunch of mini bananas are sitting in a bowl of apples and oranges.
000000180135.jpg	A person holding a microphone in one hand while holding a skateboard in the other.	The person holds a skateboard in one hand while he holds a microphone in the other.	A person holding a microphone in one hand while holding a skateboard on their back.
000000177015.jpg	A person sitting in a chair with a cat and a laptop.	A person sits in a chair next to a laptop and a cat.	A person lying down in a chair with a cat and a laptop.
000000291490.jpg	A kitten on a bed with its arm stretched out toward the camera	On a bed, the kittenextends its arm toward the camera.	A kitten above a bed with its arm stretched out toward the camera.
000000127955.jpg	There are two brown bears that are playing together in the water	Two brown bears in the water are playing with each other.	There are two brown bears that are playing together beside the water.
000000306700.jpg	A person getting ready to eat a pizza on the table.	An individual is sitting at the table and is ready to eat a pizza.	A person getting ready to eat a pizza next to the table.
000000321333.jpg	A couple of children sitting in front of a blanket.	Two children are positioned in front of a blanket.	A couple of children lying in front of a blanket.
000000295713.jpg	A person sitting on a bench near a statue, checking their phone.	An individual sits on a bench close to a statue, looking at their phone.	A person standing on a bench near a statue, checking their phone.
000000551439.jpg	An individual holding a book about the topic fun.	A person holding a book on the subject of fun.	An individual reading a book about the topic fun.
000000058636.jpg	The street signs for Gladys and Detroit streets are attached to a wooden pole.	A wooden pole displays the street signs for Gladys and Detroit streets.	The street signs for Gladys and Detroit streets are leaning against a wooden pole.
000000372819.jpg	A group of dogs that are standing in the grass.	A pack of dogs that are standing in the grass.	A group of dogs that are lying in the grass.
000000065736.jpg	A tennis player in a black army shirt and tennis skirt, swinging a tennis racket.	The tennis player wearing a tennis skirt and a black army shirt swings a tennis racket.	A tennis player in a black army shirt and tennis skirt, holding a tennis racket.
000000246968.jpg	A person standing in a kitchen preparing food.	An individual is cooking food in the kitchen while standing.	A person sitting in a kitchen preparing food.
000000036936.jpg	Two people sitting on a couch playing a video game.	A couple of individuals are seated on a couch playing a video game.	A people lying on a couch playing a video game.
000000011813.jpg	A camera sits on a tripod connected to a laptop.	The laptop is connected to the tripod which houses the camera.	A camera hangs from a tripod connected to a laptop.
000000058636.jpg	A large wooden pole with a green street sign hanging from it.	A green street sign that is suspended from a large wooden pole.	A large wooden pole with a green street sign leaning against it.
000000153529.jpg	A person stands beside their luggage at an airport.	An individual stands alongside their luggage at the airport.	A person is sitting beside their luggage at an airport.
000000441586.jpg	A person standing on a vehicle with two large wheels.	An individual stands on a vehicle equipped with two huge wheels.	A person standing next to a vehicle with two large wheels.
000000218439.jpg	A kid on a bed with dozens of photos on the wall behind him.	Dozens of photos on the wall behind the kid on the bed.	A kid beside a bed with dozens of photos on the wall behind him.
000000236784.jpg	Two dogs are lying on the brown couch.	The brown couch contains two dogs lying down.	Two dogs are jumping over the brown couch.
000000215245.jpg	A large group of zebras graze in the grasslands of africa	A vast herd of zebras feeds on the African grasslands.	A large group of zebras gallop through the grasslands of Africa.
000000035963.jpg	A statue with two stuffed animals on top of it sitting in a patch of dirt.	Two stuffed animals on top of the statue situated in a patch of dirt.	A statue with two stuffed animals next to it sitting in a patch of dirt.
000000425702.jpg	A person holding a surfboard walking on a beach next to the ocean.	An individual with a surfboard is strolling along a ocean beach.	A person holding a surfboard sitting on a beach next to the ocean.
000000191013.jpg	A picture of a very large clock on the side of a building.	An image of an enormous clock displayed on the side of a building.	A picture of a very large clock on top of a building.
000000565778.jpg	A blue commuter train traveling towards a train tunnel.	A commuter train painted blue is moving towards a tunnel.	A blue commuter train coming out of a train tunnel.
000000338428.jpg	A truck painted green with designs parked by other vehicles.	Other vehicles parked next to the green truck with designs.	A truck painted green with designs is moving towards other vehicles.
000000121506.jpg	An umbrella on a backyard patio is upturned from the wind.	The wind has turned an umbrella upside down on a backyard patio.	An umbrella next to a backyard patio is upturned from the wind.
000000243204.jpg	A person that is cooking some food in a kitchen.	A person in a kitchen that is preparing some food.	A person that is washing some dishes in a kitchen.
000000046252.jpg	A baseball player in a red shirt is ready to hit the ball.	A baseball player wearing a red shirt is poised to strike the ball.	A baseball player outside in a red shirt is ready to hit the ball.
000000259571.jpg	An orange truck driving down a street full of people in the back.	People are in the back of the orange truck driving down the street.	An orange truck driving down a street empty of people in the back.
000000093353.jpg	A piece of bread with a hot dog in the middle is shown.	A hot dog is placed in the middle of the piece of bread.	A piece of bread without a hot dog in the middle is shown.
000000388056.jpg	A batter getting ready to bat with the catcher and umpire behind him.	A batter is preparing to bat with the catcher and umpire positioned behind him.	A batter getting ready to bat with the catcher and umpire in front of him.
000000147729.jpg	A person in a crowd taking pictures with a cell phone.	An individual in the crowd is using a cell phone to take pictures.	A person in a crowd listening to music on a cell phone.
000000403817.jpg	A cat sitting beside a laptop on a desk.	The laptop is positioned on the desk beside the cat.	A cat sleeping beside a laptop on a desk.
000000363666.jpg	Young people having a meal at a table.	A group of young people dine at a table.	Young people standing next to a table.
000000065736.jpg	A person in black shirt and skirt playing a game of tennis.	An individual wearing a black shirt and skirt plays a game of tennis.	A person in black shirt and skirt is watching a game of tennis.
000000226130.jpg	A sausage on italian roll sandwich, cut in half, is on a white plate, with a garnish.	A sandwich consisting of a sausage on an Italian roll, sliced in half, is placed on a white plate with a garnish.	A sausage on italian roll sandwich, cut in half, is beside a white plate, with a garnish.
000000547816.jpg	A view of a bathroom with the shower curtain open.	A bathroom with an open shower curtain is shown.	A view of a bathroom without the shower curtain open.
000000429281.jpg	Display for bananas with a euro money sign	A display for bananas featuring a euro money sign.	Display for bananas without a euro money sign.
000000267434.jpg	Several cows grazing in the field with a house in the background.	A house is situated in the background of several cows grazing in the field.	Several cows sleeping in the field with a house in the background.
000000492362.jpg	A skateboarder riding their board down the sidewalk.	The skateboarder is gliding along the sidewalk.	A skateboarder carrying their board down the sidewalk.
000000284623.jpg	Black cat with green eyes sitting in a bathroom sink.	Green-eyed black cat sitting in a bathroom sink.	A black cat with green eyes sleeping in a bathroom sink.
000000370677.jpg	Some people in colorful shirts standing by some pastries.	Few individuals wearing colorful shirts are standing next to some pastries.	Some people in colorful shirts walking past some pastries.
000000363207.jpg	A newly married couple sharing a piece of their wedding cake.	A piece of the wedding cake being shared by the newly married couple.	A newly married couple cutting a piece of their wedding cake.
000000221291.jpg	Young child posing in front of a flying kite in the park	A young child is depicted standing before a flying kite in a park.	A young child is running with a flying kite in the park.
000000279541.jpg	A bunch of pizzas are on display under a case	Several pizzas are showcased under a display case.	A bunch of pizzas are on display on top of a case.
000000042276.jpg	A bathroom with ski equipment laid out on the floor.	Ski equipment is laid out on the floor in the bathroom.	A bathroom without ski equipment laid out on the floor.
000000219283.jpg	A teddy bear sitting on the ground in front of many boxes.	Several boxes are situated behind the teddy bear sitting on the ground.	A teddy bear sitting on the ground next to many boxes.
000000456394.jpg	A show floor with a shiny blue motorcycle surrounded by bars.	shiny blue motorcycle surrounded by bars is on a show floor.	A show floor with a shiny blue motorcycle next to bars.
000000066038.jpg	Couple of persons under an umbrella at the beach.	An umbrella shelters a pair of people at the beach.	Couple of persons next to an umbrella at the beach.
000000338428.jpg	Truck viewed from the back with vans and trucks visible in the background of the image.	The image features a rear view of truck with vans and other trucks visible in the background.	Truck viewed from the back with vans and trucks hidden behind in the background of the image.
000000106235.jpg	A very cozy looking living room with an oval table.	The living room is adorned with an oval table, exuding a warm and inviting ambiance.	A very cozy looking living room without an oval table.
000000185250.jpg	a person watches as a dog looks at a toy in the air	A person observes while a dog gazes at a toy in mid-air	A person watches as a dog catches a toy in the air.
000000314294.jpg	An elephant standing in a shaded clearing in a wooded area.	A shaded clearing in a wooded area features an elephant standing in it.	An elephant lying in a shaded clearing in a wooded area.
000000183648.jpg	Three people standing by an elephant behind a fence	Three people are standing behind a fence near the elephant.	Three people sitting by an elephant behind a fence.
000000370042.jpg	Large assortment of small and large vases displayed outdoors.	A diverse array of small and large vases are exhibited outside.	Large assortment of small and large vases stored indoors.
000000052017.jpg	A yellow and blue plant flying in a gray sky.	A yellow and blue plant soars in a gray sky.	A yellow and blue plant swaying in a gray sky.
000000212559.jpg	A close up of sheep on hay ground indoors	A close-up of sheep on an indoor floor covered with hay.	A close up of sheep next to hay on the indoor ground.
000000186873.jpg	Large canoe with many people on lake with trees lining shore.	many people in a large canoe on a lake while trees along the shore line up.	Large canoe without any people on lake with trees lining shore.
000000312278.jpg	A collection of luggage that has been placed on a wooden carrier.	The wooden carrier holds a collection of luggage.	A collection of luggage that has been stacked up on a wooden carrier.
000000253742.jpg	Several people holding umbrellas and standing next to deer.	many individuals are holding umbrellas while standing next to deer.	Several people holding umbrellas and standing far from deer.
000000464786.jpg	Hot dog with mustard on it sitting on a white napkin.	A hot dog with mustard is placed on a white napkin.	A hot dog with mustard on it is standing on a white napkin.
000000033707.jpg	Two large giraffes inside a fenced area stand together near many rocks	Two large giraffes are standing together inside a fenced area, surrounded by many rocks.	Two large giraffes inside a fenced area stand together far from many rocks.
000000507223.jpg	A group of baseball players standing next to each other on top of a field.	A cluster of baseball players are standing beside each other on a field.	A group of baseball players far from each other on top of a field.
000000185250.jpg	Frisbee in the air, a dog squatting looking up at it, and a person standing behind the dog watching it, on the grass with a tree.	The person is standing behind the dog as it watches the Frisbee in mid-air, on the grass with a nearby tree.	Frisbee in the air, a dog jumping and looking up at it, and a person standing behind the dog watching it, on the grass with a tree.
000000016958.jpg	A living room with a fireplace and a table and chair.	A living room contains a fireplace, along with a table and a chair.	A living room without a fireplace and only a table and chair.
000000008690.jpg	Two persons pet a goat that is in a pen.	Two individuals are petting a goat that is located in a pen.	Two persons watch a goat that is in a pen.
000000579307.jpg	A person and a child standing on the beach side with a self assembled kite.	Standing on the beachside are the person and their child, holding a kite they constructed themselves.	A person and a child are running along the beach side with a self assembled kite.
000000458755.jpg	On a bed, the kitten extends its arm toward the camera.	A sheep looks at the face of the child who places their hands on another sheep's head and neck.	A child places their hands on the head and neck of a sheep while another sheep shies away from childs face.
000000084477.jpg	A beach chair and umbrella in the sand on the beach.	The beach chair and umbrella are located in the sand on the beach.	A beach chair and umbrella beside the sand on the beach.
000000118367.jpg	A hand holding a hot dog on a  bun in a  wrapper.	A hand holding a hot dog on a bun wrapped in a wrapper.	A hand holding a hot dog on a bun without a wrapper.
000000360661.jpg	Three people riding horses on a beach	Three individuals are riding horses along a beach.	Three people walking their horses on a beach.
000000142092.jpg	A pizza with vegetables and cheese resting on a board.	A board supports a pizza bearing vegetables and cheese.	A pizza with vegetables and cheese hanging off a board.
000000399462.jpg	A little child is running with kite in a open field.	A young child is running with kite in an open field.	A little child is flying with kite in an open field.
000000368294.jpg	A person wearing a pink hair towel working in a factory.	A person is working in the factory with a pink hair towel.	A person not wearing a pink hair towel is relaxing outside the factory.
000000300842.jpg	The foot of a person on a skateboard is prominent in this photo.	The photograph prominently features the foot of a person on a skateboard.	The foot of a person next to a skateboard is prominent in this photo.
000000372577.jpg	A person in shorts and a long sleeve shirt playing tennis.	An individual wearing shorts and a long-sleeve shirt is playing tennis.	A person in shorts and a long sleeve shirt is watching a tennis game.
000000398237.jpg	A baby is holding some poles in the middle of a grass field.	The baby holds some poles in the mid of a grassy field.	A baby is dropping some poles in the middle of a grass field.
000000384350.jpg	A large jetliner sitting on top of an airport runway.	The airport runway is underneath a large jetliner.	A large jetliner is flying over an airport runway.
000000537153.jpg	Two people sitting on a bench looking out over the ocean	Couple of individuals are seated on a bench gazing out to ocean.	Two people sitting on a bench gazing up at the sky.
000000315257.jpg	A blue bird sitting on top of a bowl of seed.	A blue bird is situated on top of a bowl that contains seed.	A blue bird is flying around a bowl of seed.
000000273715.jpg	Three people are standing under the arch for a ski race	Below the arch are three people standing for a ski race	Three people are sitting under the arch for a ski race.
000000332570.jpg	A person holding a smart device in their left  hand.	A smart device is held in the left hand of a person	A person dropping a smart device from their left hand.
000000370999.jpg	A coin with a portrait and some rings on the table	Some rings and a coin with a portrait  lie on the table.	A coin with a portrait and some rings in the drawer.
000000046252.jpg	A baseball player wearing red and white is up to bat.	The red and white clad baseball player is up to bat.	A baseball player wearing red and white is running to first base.
000000557501.jpg	A colorful public restroom with striped walls and yellow counter.	A public restroom is vibrant featuring striped walls and a yellow counter.	A plain public restroom without any decorations or colors.
000000038048.jpg	A red fire hydrant on a city sidewalk.	A red fire hydrant situated on a sidewalk in the city.	A red fire hydrant beside a city sidewalk.
000000205776.jpg	A brown bear is lying asleep in a hammock	Inside a hammock is a brown bear lying asleep.	A brown bear is lying asleep next to a hammock.
000000494427.jpg	A dell inspiron laptop is sitting on a desk..	A dell inspiron laptop is situated on a desk.	A dell inspiron laptop is lying on a desk.
000000080666.jpg	A cat sitting on top of a bench in a field.	A cat is seated atop a bench in a field.	A cat lying down beside a bench in a field.
000000255749.jpg	A person stands beside a bus in a snowy forest at night.	An individual stands in a snowy forest close to a bus at night.	A person stands behind a bus in a snowy forest at night.
000000526751.jpg	A small boat is beached on the shore.	The small boat is resting on the shore.	A small boat is floating in the water.
000000094336.jpg	A cat is staring while sitting in a sink.	The cat sits in the sink while staring.	A cat is sleeping while sitting in a sink.
000000455555.jpg	A young child riding on top of a skateboard.	A young child is skateboarding.	A young child pushing a skateboard.
000000156643.jpg	A smiling person sitting by a very nice looking cake.	A smiling individual is seated beside a beautifully decorated cake.	A smiling person standing near a very nice looking cake.
000000176446.jpg	A yellow book with a black pen on it	The book with a black pen on it is yellow.	A yellow book with a black pen next to it.
