image	sent1	sent2	Best reference (Semantically close)	Reference-2 (Completely irrelevant)
000000195509.jpg	The person is touching the pizza.	The pizza is touching the person.	The pizza is away from the person.	The chef is touching the broccoli.
000000292232.jpg	The cat is inside the suitcase.	The suitcase contains the cat.	The cat is outside the suitcase.	The backpack is inside the suitcase.
000000487225.jpg	The bowl is right of the toaster.	The toaster is left of the bowl.	The bowl is left of the toaster.	The cow is near the road.
000000015953.jpg	The apple is left of the cake.	The cake is at the right side of the apple.	The cake and apple are far apart.	The person is left of the post box.
000000015953.jpg	The apple is behind the cake.	The cake is in front of the apple.	The cake and apple are far apart.	The oven is behind the pan.
000000306581.jpg	The bus is behind the cow.	The cow is ahead of the bus.	The bus is in front of the cow.	The oven is behind the pan.
000000306581.jpg	The bus is away from the cow.	The cow and the bus are far away.	The bus is close to the cow.	The ball is away from the elephant.
000000306581.jpg	The bus is far away from the cow.	The cow and the bus are far apart.	The bus is near the cow.	The car is ahead of the bicycle.
000000490959.jpg	The bicycle is far away from the bus.	The bus is far away from the bicycle.	The bicycle is touching the bus.	The sun is far away from earth.
000000471064.jpg	The cat is on top of the suitcase.	The suitcase is below the cat.	The cat is within the suitcase.	The small boy is below the big boy.
000000212868.jpg	The backpack is on the cat.	The cat is in contact with the backpack.	The backpack is away from the cat.	The cargo is on the plane.
000000212868.jpg	The backpack is on the cat.	The backpack is attached to the cat.	The backpack is not attached to the cat.	The plane is flying on top of the mountain.
000000577405.jpg	The apple is under the cake.	The cake is on the apple.	The apple is on the cake.	The bench is under the bird.
000000023218.jpg	The donut is in contact with the person.	The person is touching the donut.	The person is not touching the cake.	The car is front of the parking.
000000060126.jpg	The banana is on top of the cake.	The cake is below the banana.	The cake is not below the banana.	The plane is flying on top of the mountain.
000000060126.jpg	The banana is on the cake.	The cake is under the banana.	The cake is above the banana.	The boat is under the bridge.
000000060126.jpg	The banana is on top of the cake.	The cake is under the banana.	The banana is below the cake.	The boat is under the bridge.
000000477061.jpg	The bed is inside the car.	The car contains the bed.	The bed is outside the car.	The seed is inside the fruit.
000000222987.jpg	The banana is on the cake.	The cake is beneath the banana.	The cake is not touching the banana.	The plane is flying on top of the mountain.
000000151497.jpg	The cat is in front of the backpack.	The backpack is behind the cat.	The cat is behind the backpack.	The car is in front of the parking.
000000151497.jpg	The backpack is at the right side of the cat.	The cat is at left of the backpack.	The backpack is at the left side of the cat.	The car is front of the parking.
000000326774.jpg	The cow is under the person.	The person is on the cow.	The cow is far from the person.	The umbrella is under the sun.
000000103582.jpg	The bed is beneath the suitcase.	The suitcase is on the bed.	The bed is away from the suitcase.	The plane is flying on top of the mountain.
000000103582.jpg	The bed is under the suitcase.	The suitcase is on top of the bed.	The bed is above the suitcase.	The plane is flying on top of the mountain.
000000240718.jpg	The oven contains the pizza.	The pizza is in the oven.	The pizza is outside the oven.	The plane contains the passengers.
000000524881.jpg	The bird is top of the bowl.	The bowl is below the bird.	The bowl is on top the bird.	The small boy is below the big boy.
000000012698.jpg	The bowl is under the sandwich.	The sandwich is above the bowl.	The bowl is above the sandwich.	The boat is under the bridge.
000000012698.jpg	The bowl is under the sandwich.	The sandwich is over the bowl.	The bowl is over the sandwich.	The boat is under the bridge.
000000511148.jpg	The cat is inside the suitcase.	The suitcase contains the cat.	The cat is not in the the suitcase.	The car is inside the garage.
000000185777.jpg	The cake is in front of the oven.	The oven is behind the cake.	The cake is inside the oven.	The car is parked in front of the fire hydrant.
000000566596.jpg	The person is on top of the teddy bear.	The teddy bear is under the person.	The teddy bear is on the person.	The boat is under the bridge.
000000038668.jpg	The banana is under the orange.	The orange is on the banana.	The orange is below the banana.	The boat is under the bridge.
000000542307.jpg	The airplane is far away from the bus.	The bus is far away from the airplane.	The airplane is close to the bus.	The sun is far away from earth.
000000043894.jpg	The bed is touching the cup.	The cup is in contact with the bed.	The bed is far from the cup.	The cap is on top of the bag.
000000355159.jpg	The bus is behind the dining table.	The dining table is in front of the bus.	The bus is in front of the dining table.	The cow is behind the truck.
000000065836.jpg	The banana is above the bird.	The bird is below the banana.	The banana is below the bird.	The crane is away from the building.
000000065836.jpg	The banana is above the bird.	The bird is lower than the banana.	The banana is below the bird.	The crane is above the building.
000000082512.jpg	The potted plant is close to the teddy bear.	The teddy bear is near the potted plant.	The potted plant is far from the teddy bear.	The tv is in front of the teddy bear.
000000378313.jpg	The cow is left of the dining table.	The dining table on the right side of the cow.	The dining table is left of the cow.	The donut is left of the chocolate.
000000394157.jpg	The cat is inside the clock.	The clock consists of the cat.	The cat is not inside the clock.	The banana is on the basket.
000000394157.jpg	The cat is part of the clock.	The clock consists of the cat.	The cat is away from the clock.	The teddy bear is part of the book.
000000449770.jpg	The backpack is next to the cat.	The cat is beside the backpack.	The cat is away from the backpack.	The keyboard is next to the cat.
000000449770.jpg	The backpack is next to the cat.	The cat is by the backpack.	The cat is away from the backpack.	The keyboard is next to the cat.
000000449770.jpg	The cat is next to the backpack.	The backpack is close to the cat.	The backpack is far from the cat.	The keyboard is next to the cat.
000000106657.jpg	The cake is in front of the teddy bear.	The teddy bear is behind the cake.	The teddy bear is in front of the cake.	The boy is in front of the car.
000000036324.jpg	The oven contains the pizza.	The pizza is inside the oven.	The pizza is outside the oven.	The gift is inside the box.
000000016109.jpg	The person is beside the sheep.	The sheep is adjacent to the person.	The person is on the sheep.	The ship is beside the submarine.
000000531049.jpg	The laptop is beside the train.	The train is near the laptop.	The laptop is inside the train.	The dog is near the cat.
000000531049.jpg	The laptop is beside the train.	The train is next to the laptop.	The laptop is in the train.	The coffee is beside the cookies.
000000570783.jpg	The bicycle is beside the teddy bear.	The teddy bear is beside the bicycle.	The teddy bear is riding the bike.	The animals are beside the bus.
000000159403.jpg	The bus is behind the dining table.	The dining table is opposite to the bus.	The bus is in front of the dining table.	The driver is driving the bus.
000000249644.jpg	The carrot is in front of the cat.	The cat is behind the carrot.	The cat is carrying the carrot.	The girl is carrying the carrot.
000000332420.jpg	The cat is in the suitcase.	The suitcase is beneath the cat.	The cat is pushing the suitcase.	The cat is in the car.
000000332420.jpg	The cat is inside the suitcase.	The suitcase contains the cat.	The cat is pulling the suitcase.	The dog is inside the suitcase.
000000378214.jpg	The cow is in front of the sheep.	The sheep is behind the cow.	The sheep is on the cow.	The cow is chasing the cat.
000000439364.jpg	The cat is into the toilet.	The toilet is surrounding the cat.		
000000099024.jpg	The kite is touching the person.	The person is touching the kite.	The kite is very far from the person.	The pizza is in front of the person.
000000286660.jpg	The person is holding the teddy bear.	The teddy bear is touching the person.	The teddy bear is very far from the person.	The person is standing on the truck.
000000514600.jpg	The bird is on the orange.	The orange is beneath the bird.	The orange is above the bird	The bird is on the umbrella.
000000064423.jpg	The cat is in the suitcase.	The suitcase contains the cat.	The cat is far from the suitcase.	The elephant is in the truck.
000000086229.jpg	The cat is inside the suitcase.	The suitcase is surrounding the cat.	The cat is outside the suitcase.	The cat is chasing the rat.
000000042042.jpg	The dining table is in front of the person.	The person is behind the dining table.	The dining table is behind the person.	The person is at the back of the bus.
000000341707.jpg	The oven contains the pizza.	The pizza is inside the oven.	The pizza is not in the oven.	The cake is outside the fridge.
000000341707.jpg	The oven contains the pizza.	The pizza is in the oven.	The piza is far from the oven.	The man is eating the pizza.
000000200775.jpg	The person is touching the sandwich.	The sandwich is touching the person.	The person is far from the sandwich.	The cat is touching the dog.
000000335712.jpg	The person is standing in front of the teddy bear.	The teddy bear is behind the standing person.	The person is standing behind the teddy bear.	The truck is in front of the car.
000000451400.jpg	The dining table is underneath the teddy bear.	The teddy bear is on top of the dining table.	The teddy bear is beneath the dining table.	The dining table is burning.
000000257629.jpg	The bench is below the laptop.	The laptop is on the bench.	The latop is away from the table.	The cat is on the carpet.
000000257629.jpg	The bench is beneath the laptop.	The laptop is on top of the bench.	The laptop and bench are far apart.	The carpet is beneath the cat.
000000163738.jpg	The bed is below the cat.	The cat is above the bed.	The cat and bed are side by side.	The pillow is above the couch.
000000230224.jpg	The car is above the cat.	The cat is under the car.	The cat is on top of the car.	A person is driving a bus.
000000218142.jpg	The cat is on the top of the sink.	The sink is beneath the cat.	The sink is on the top of the cat.	The dog is on the top of the car.
000000101194.jpg	The person is touching the pizza.	The pizza is in contact with the person.	The person is afar from the pizza.	The person is riding a bike.
000000267770.jpg	The broccoli is in front of the sandwich.	The sandwich is next to the broccoli.	The broccoli is inside the sandwich. 	The person is eating the sandwich.
000000092346.jpg	The cake is on the top of the oven.	The oven is beneath the cake.	The cake is beneath the oven.	A person is holding the cake.
000000092346.jpg	The oven is below the cake.	The cake is on the top of the oven.	The cake is beneath the oven.	A person is opening the oven.
000000560392.jpg	The cat is in front of the suitcase.	The suitcase is behind the cat.	The cat is behind the suitcase.	The suitcase is under the dining table.
000000295443.jpg	The cat is on top of the microwave.	The microwave is under the cat.	The cat is below the microwave.	The dog is running behind the cat.
000000295443.jpg	The cat is on the microwave.	The microwave is under the cat.	The microwave is on the top of the cat.	The person is using the microwave.
000000418409.jpg	The couch is beneath the person.	The person is on the couch.	A person is underneath the couch.	The couch is nside the train.
000000207475.jpg	The dining table is in front of the person.	The person is behind the dining table.	The person is under the dining table.	The person is pushing the car.
000000003093.jpg	The banana is in the bowl.	The bowl contains the banana.	The bowl is away from the banana.	A person is eating the banana.
000000386694.jpg	The boat is around the dining table.	The dining table is enclosed by the boat.	The dining table is outside the boat.	The boat is inside in water.
000000386694.jpg	The boat contains the dining table.	The dining table is enclosed by the boat.	The dining table is far from the boat.	The boat is drowning in the ocean.
000000067373.jpg	The bus is far away from the donut.	The donut is far away from the bus.	The donut is inside the bus.	The boy is throwing the donut.
000000206255.jpg	The bed is beneath the cat.	The cat is on the bed.	The cat is under the bed.	The cat is holding the rat.
000000206255.jpg	The bed is under the cat.	The cat is on the bed.	The cat is beneath the bed.	The elephant is pulling the bed.
000000189559.jpg	The cow is inside the truck.	The truck contains the cow.	The cow is on the top of the truck.	The cat is inside the box.
000000410123.jpg	The truck is across from the tv.	The tv is across from the truck.	The truck inside the tv.	The person is across from the plane.
000000239801.jpg	The banana is at the right side of the cake.	The cake is at the left side of the banana.	The banana is on the top of the cake.	The monkey is eating the banana.
000000268394.jpg	The cake is beside the truck.	The truck is beside the cake.	The cake is inside the truck.	The person is driving the truck.
000000472375.jpg	The dog is in front of the motorcycle.	The motorcycle is behind the dog.	The dog is on top of the motorcycle.	The dog is running on the plane.
000000391632.jpg	The cat is on top of the suitcase.	The suitcase is beneath the cat.	The cat is inside the suitcase.	The book is on top of the laptop.
000000192212.jpg	The bed is under the suitcase.	The suitcase is touching the bed.	The suitcase is underneath the bed.	The person is carrying the suitcase.
000000228857.jpg	The dog is at the right side of the laptop.	The laptop is at the left side of the dog.	The laptop is at the right side of the dog.	The laptop is inside the backpack.
000000040931.jpg	The car is over the cat.	The cat is under the car.	The cat is on top of the car.	The person is riding the car.
000000496606.jpg	The bench is under the dog.	The dog is on top of the bench.	The dog is underneath the bench.	The person is carrying the dog.
000000050403.jpg	The person is behind the teddy bear.	The teddy bear is in front of the person.	The teddy bear is behind the person.	The teddy bear is swimming in the water.
000000151862.jpg	The bottle is at the right side of the teddy bear.	The teddy bear is beside the bottle.	The bottle is at the left side of the teddy bear.	The bottle is floating on the water.
000000151862.jpg	The bottle is adjacent to the teddy bear.	The teddy bear is beside the bottle.	The teddy bear is far away from the bottle.	The teddy bear is floating on the water.
000000151862.jpg	The bottle is touching the teddy bear.	The teddy bear is touching the bottle.	The bottle is far away from the teddy bear.	The person is drinking from the bottle.
000000192236.jpg	The bottle contains the sheep.	The sheep is inside the bottle.	The sheep is outside the bottle.	The house is inside the village.
000000338289.jpg	The oven contains the pizza.	The pizza is inside the oven.	The pizza is away from the oven. 	The bottle contains the water.
000000180383.jpg	The cow contains the tv.	The tv is in the cow.	The cow is far from the tv.	The car contains the fridge.
000000180383.jpg	The cow contains the tv.	The tv is in the cow.	The tv is far from the cow.	The fridge is in the car.
000000483154.jpg	The banana is touching the person.	The person is touching the banana.	The person is not touching the banana.	The person is running on the road.
000000426714.jpg	The cat is on top of the microwave.	The microwave is under the cat.	The cat is beneath the microwave.	The dog is on top of the bed.
000000273607.jpg	The backpack is under the cat.	The cat is on top of the backpack.	The cat is inside the backpack.	The bed is under the dog.
000000157159.jpg	The dining table is below the teddy bear.	The teddy bear is on top of the dining table.	The teddy bear is below the dining table.	The person is on the table.
000000061389.jpg	The car is under the cat.	The cat is on top of the car.	The cat is underneath the car.	The car is inside the ship.
000000533686.jpg	The cat is inside the suitcase.	The suitcase contains the cat.	The cat is away from the suitcase.	The dog is inside the house.
000000403231.jpg	The book is beside the cat.	The cat is beside the book.	The book is away from the cat.	The person is beside the table.
000000473779.jpg	The teddy bear is to the right of the umbrella.	The umbrella is to the left of the teddy bear.	The teddy bear is to the left of the umbrella.	The person is to the right of the bus.
000000017312.jpg	The sandwich is near the toaster.	The toaster is near the sandwich.	The toaster is not near the sandwich.	The dog is near the car.
000000017312.jpg	The sandwich is in front of the toaster.	The toaster is behind the sandwich.	The sandwich is behind the toaster.	The person is behind the bed.
000000302399.jpg	The bowl contains the donut.	The donut is inside the bowl.	The donut is not inside the bowl.	The box contains the key.
000000419117.jpg	The couch is beneath the sandwich.	The sandwich is on the top of the couch.	The sandwich is beneath the couch.	The dog is beneath the car.
000000281660.jpg	The chair is inside the train.	The train contains the chair.	The chair is outside the train.	The person is inside the cabin.
000000281660.jpg	The chair is against the train.	The train contains the chair.		
000000225565.jpg	The oven is below the pizza.	The pizza is on top of the oven.	The pizza is inside the oven.	The crow is on top of the tree.
000000203497.jpg	The person is touching the teddy bear.	The teddy bear is touching the person.	The teddy bear is not touching the person.	The pizza is touching the oven.
000000558388.jpg	The cake is next to the person.	The person is next to the cake.	The person is not next to the cake.	The school is next to the park.
000000357859.jpg	The bear is touching the car.	The car is touching the bear.	The bear is away from the car.	The person is touching the bottle.
000000162355.jpg	The bicycle is far from the cow.	The cow is far from the bicycle.	The cow is on the bicycle.	The rat far from the pizza.
000000162355.jpg	The bus is past the cow.	The cow is past the bus.	The cow is inside the bus.	The school is past the road.
000000162355.jpg	The bus is facing away from the cow.	The cow is away from the bus.	The bus contains the cow.	The table is away from the bed.
000000046686.jpg	The fire hydrant is touching the tv.	The tv is touching the fire hydrant.	The tv is far away from the fire hydrant.	The person is touching the bike.
000000129007.jpg	The cow is far away from the person.	The person is far away from the cow.	The pesron is on the cow.	The park is far away from the house.
000000061382.jpg	The banana is in front of the broccoli.	The broccoli is behind the banana.	The broccoli is in front of the banana.	The bus is in front of the car.
000000032538.jpg	The cow is touching the person.	The person is touching the cow.	The cow is not touching the person.	The kid is touching the oven.
000000434275.jpg	The dog is at the right side of the laptop.	The laptop is to the left of the dog.	The dog is behind the laptop.	The banana is at the right side of the pizza.
000000434275.jpg	The dog is at the right side of the laptop.	The laptop is at the left side of the dog.	The dog is at the left side of the laptop.	The banana is at the left side of the pizza.
000000148176.jpg	The cake is at the right side of the person.	The person is at the left side of the cake.	The person is at the right side of the cake.	The bus is behind the car..
000000497591.jpg	The bench is in front of the refrigerator.	The refrigerator is behind the bench.	The bench is behind the refrigerator.	The sheep is behind the truck.
000000281634.jpg	The sheep is next to the truck.	The truck is next to the sheep.	The sheep is far away from the truck.	The kid is next to the cake.
000000243204.jpg	The pan is under the sandwich.	The sandwich is on the pan.	The sandwich is beside the pan.	The dog is beside the cat.
000000046905.jpg	The car is far away from the cat.	The cat is far away from the car.	The cat is inside the car.	The cow is far away from the person.
000000080336.jpg	The cow is at the back of the person.	The person is ahead of the cow.	The cow is ahead of the person.	The dog is at the back of the car.
000000080336.jpg	The cow is behind the person.	The person is ahead of the cow.	The person is at the back of the cow.	The car is ahead of the truck.
000000270581.jpg	The person is behind the sheep.	The sheep is in front of the person.	The sheep is behind the person.	The cow is behind the tree.
000000218687.jpg	The cake is beneath the teddy bear.	The teddy bear is on top of the cake.	The teddy bear is under the cake.	The table is beneath the book.
000000218687.jpg	The cake is beneath the teddy bear.	The teddy bear is on the cake.	The teddy bear is under the cake.	The table is beneath the book.
000000422469.jpg	The car is across from the parking meter.	The parking meter is across from the car.	The parking meter is inside the car.	The school is across from the park.
000000422469.jpg	The car is across from the parking meter.	The parking meter is opposite to the car.	The car contains the parking meter.	The school is across from the park.
000000283648.jpg	The truck contains the tv.	The tv is inside the truck.	The tv is outside the truck.	The man is inside the car
000000024081.jpg	The person is facing away from the toaster.	The toaster is behind the person.	The person is facing the toaster.	The dog is facing away from the cat.
000000216664.jpg	The cat is on top of the toilet.	The toilet is below the cat.	The cat is behind the toilet.	The person is top of the table.
000000286471.jpg	The cat is in the sink.	The sink contains the cat.	The cat is outside the sink.	The person is in the car.
000000144746.jpg	The backpack contains the cat.	The cat is inside the backpack.	The cat is outside the backpack.	The bottle contains the water.
000000137265.jpg	The bird is over the umbrella.	The umbrella is under the bird.	The bird is under the umbrella.	The dog is under the bed.
000000355736.jpg	The cake has as a part the person.	The person is on top of the cake.		
000000251716.jpg	The dog is on top of the motorcycle.	The motorcycle is under the dog.	The dog is far away from the motorcycle.	The bird is on top of the cycle.
000000061315.jpg	The dining table is close to the person.	The person is close to the dining table.	The dining table is far away from the person.	The oven is close to the table.
000000471407.jpg	The cat is on the sink.	The sink is below the cat.	The cat is below the sink.	The dog is above the table.
000000047566.jpg	The person is touching the sheep.	The sheep is touching the person.	The sheep is not touching the person.	The bird is touching the wood.
000000047566.jpg	The person is above the sheep.	The sheep is beneath the person.	The sheep is above the person.	The cat is above the sink.
000000059034.jpg	The boat contains the dining table.	The dining table is on the boat.	The dining table is outside the boat.	The goat is on the hill.
000000488743.jpg	The orange is touching the person.	The person is holding the orange.	The orange is not touching the person.	The scissors is touching the person.
000000211449.jpg	The dog is on the motorcycle.	The motorcycle is under the dog.	The motorcycle is in front of the dog.	The cat is on the surfboard.
000000114907.jpg	The cow is inside the truck.	The truck contains the cow.	The cow is far away from the truck.	The water is inside the bottle.
000000171330.jpg	The oven contains the pizza.	The pizza is inside the oven.	The pizza is outside the oven.	The tv is inside the truck.
000000171330.jpg	The oven contains the pizza.	The pizza is inside the oven.	The pizza is outside the oven.	The elephant is inside the truck.
000000372029.jpg	The dog is on the surfboard.	The surfboard is under the dog.	The dog is far from the surfboard.	The cat is on the bed.
000000141441.jpg	The cat is inside the suitcase.	The suitcase is surrounding the cat.	The cat is outside the suitcase.	The pizza is in the oven.
000000141441.jpg	The cat is inside the suitcase.	The cat is within the suitcase.	The cat is outside the suitcase.	The elephant is inside the truck.
000000012102.jpg	The cat is in the toilet.	The toilet is surrounding the cat.	The cat is outside the toilet.	The tv is in the boat.
000000012102.jpg	The cat is toward the toilet.	The toilet is surrounding the cat.		
000000012102.jpg	The cat is into the toilet.	The toilet is surrounding the cat.	The cat is far from the toilet.	The wall is surrounding the elephant.
000000112363.jpg	The boat is to the left of the potted plant.	The potted plant is to the right the boat.	The potted plant is to the left the boat.	The book is to the left of the laptop.
000000393542.jpg	The bicycle is under the teddy bear.	The teddy bear is on the bicycle.	The bicycle is beside the teddy bear.	The cat is on the keyboard.
000000393542.jpg	The bicycle is beneath the teddy bear.	The teddy bear is on the bicycle.	The teddy bear is beneath the bicycle.	The cat is on top of the keyboard.
000000393542.jpg	The bicycle is below the teddy bear.	The teddy bear is on the bicycle.	The teddy bear is under the bicycle.	The cat is on the keyboard.
000000355857.jpg	The bus is behind the teddy bear.	The teddy bear is in front of the bus.	The teddy bear is behind the bus.	The cow is behind the truck.
000000213579.jpg	The cake is at the left side of the person.	The person is at the right side of the cake.	The cake is at the right side of the person.	The kid is at the right side of the table.
000000093031.jpg	The banana is on top of the cake.	The cake is under the banana.	The banana is under the cake.	The cat is on top of the piano.
000000093031.jpg	The banana is part of the cake.	The cake is touching the banana.		
000000093031.jpg	The banana is part of the cake.	The cake consists of the banana.	The banana is away from the cake	The wheel is part of the car.
000000174423.jpg	The bird is on the umbrella.	The umbrella is under the bird.	The umbrella is on the bird.	The banana is on the cake.
000000428329.jpg	The couch is below the umbrella.	The umbrella is above the couch.	The couch is above the umbrella.	The car is above the cat.
000000235069.jpg	The boat is on top of the truck.	The truck is under the boat.	The truck is on top of the boat.	The bottle is on top of the table.
000000468951.jpg	The cat is in the suitcase.	The suitcase contains the cat.	The cat is away from the suitcase.	The banana is in the bag.
000000375086.jpg	The bowl contains the sandwich.	The sandwich is in the bowl.	The bowl is far from the sandwich.	The pizza is in the oven.
000000238187.jpg	The banana is on top of the dining table.	The dining table is below the banana.	The dining table is above the banana.	The book is on top of the file.
000000137514.jpg	The cat is in front of the microwave.	The microwave is behind the cat.	The microwave is in front of the cat.	The bicycle is behind the truck.
000000137514.jpg	The cat is touching the microwave.	The microwave is touching the cat.	The cat is not touching the microwave.	The suitcase is touching the wall.
000000469618.jpg	The boat is away from the dining table.	The dining table is away from the boat.	The boat is touching the dining table.	The cat is away from the dog.
000000469618.jpg	The boat is behind the dining table.	The dining table is in front of the boat.	The boat is in front of the dining table.	The bicycle is behind the bus.
000000169660.jpg	The cake is in the oven.	The oven is surrounding the cake.	The cake is outside the oven.	The person is outside the house.
000000169660.jpg	The cake is in the oven.	The oven contains the cake.	The oven is away from the cake.	The book is in the shelf.
000000281920.jpg	The broccoli is at the right side of the pizza.	The pizza at the left side of the broccoli.	The pizza at the right side of the broccoli.	The pencil is at the right side of the notebook.
000000281920.jpg	The broccoli is beside the pizza.	The pizza is next to the broccoli.	The broccoli is inside the pizza.	The bottle is beside the plate.
